,#Position,Illumina Universal Adapter,Illumina Small RNA Adapter,Nextera Transposase Sequence,SOLID Small RNA Adapter
0,1,4.290935856596709E-5,0.0,0.0,0.0
1,2,5.363669820745886E-5,0.0,5.363669820745886E-6,0.0
2,3,9.118238695268007E-5,0.0,5.363669820745886E-6,0.0
3,4,1.8772844372610603E-4,0.0,8.04550473111883E-6,0.0
4,5,2.2795596738170017E-4,0.0,8.04550473111883E-6,0.0
5,6,2.7622899576841315E-4,0.0,8.04550473111883E-6,0.0
6,7,3.593658779899744E-4,8.04550473111883E-6,8.04550473111883E-6,0.0
7,8,4.1300257619743323E-4,1.0727339641491773E-5,8.04550473111883E-6,0.0
8,9,5.20275972612351E-4,1.0727339641491773E-5,8.04550473111883E-6,0.0
9,10,5.631853311783181E-4,1.0727339641491773E-5,8.04550473111883E-6,2.681834910372943E-6
10,11,6.060946897442852E-4,1.0727339641491773E-5,8.04550473111883E-6,2.681834910372943E-6
11,12,6.731405625036087E-4,1.0727339641491773E-5,8.04550473111883E-6,2.681834910372943E-6
12,13,7.884594636496453E-4,1.3409174551864716E-5,8.04550473111883E-6,2.681834910372943E-6
13,14,8.635508411400877E-4,1.3409174551864716E-5,8.04550473111883E-6,2.681834910372943E-6
14,15,9.305967138994113E-4,1.3409174551864716E-5,8.04550473111883E-6,2.681834910372943E-6
15,16,0.0010030062564794807,1.3409174551864716E-5,8.04550473111883E-6,2.681834910372943E-6
16,17,0.001088824973611415,1.609100946223766E-5,8.04550473111883E-6,2.681834910372943E-6
17,18,0.001177325525653722,1.87728443726106E-5,8.04550473111883E-6,2.681834910372943E-6
18,19,0.0012899625918893858,1.87728443726106E-5,8.04550473111883E-6,2.681834910372943E-6
19,20,0.0013757813090213198,1.87728443726106E-5,1.3409174551864716E-5,2.681834910372943E-6
20,21,0.0014937820450777294,2.1454679282983546E-5,1.3409174551864716E-5,2.681834910372943E-6
21,22,0.0016171464509548848,2.1454679282983546E-5,1.3409174551864716E-5,5.363669820745886E-6
22,23,0.0016788286538934624,2.1454679282983546E-5,1.609100946223766E-5,5.363669820745886E-6
23,24,0.0018021930597706178,2.1454679282983546E-5,1.609100946223766E-5,5.363669820745886E-6
24,25,0.0018987391165440437,2.1454679282983546E-5,1.87728443726106E-5,5.363669820745886E-6
25,26,0.00204087636679381,2.1454679282983546E-5,2.1454679282983546E-5,5.363669820745886E-6
26,27,0.0021588771028502192,2.1454679282983546E-5,2.1454679282983546E-5,5.363669820745886E-6
27,28,0.0022929688483688663,2.1454679282983546E-5,2.1454679282983546E-5,5.363669820745886E-6
28,29,0.002416333254246022,2.413651419335649E-5,2.413651419335649E-5,5.363669820745886E-6
29,30,0.0025128793110194476,2.413651419335649E-5,2.681834910372943E-5,5.363669820745886E-6
30,31,0.0026603802310899596,2.413651419335649E-5,2.681834910372943E-5,5.363669820745886E-6
31,32,0.0028481086748160657,2.413651419335649E-5,2.681834910372943E-5,5.363669820745886E-6
32,33,0.00302510977890068,2.413651419335649E-5,2.9500184014102376E-5,5.363669820745886E-6
33,34,0.0032208837273579047,2.681834910372943E-5,3.218201892447532E-5,8.04550473111883E-6
34,35,0.0033791119870699086,2.681834910372943E-5,3.218201892447532E-5,8.04550473111883E-6
35,36,0.0035587949260648954,2.681834910372943E-5,3.218201892447532E-5,8.04550473111883E-6
36,37,0.003784069058536223,2.681834910372943E-5,3.75456887452212E-5,8.04550473111883E-6
37,38,0.004049570714663144,2.681834910372943E-5,3.75456887452212E-5,8.04550473111883E-6
38,39,0.00432848154534193,2.681834910372943E-5,3.75456887452212E-5,8.04550473111883E-6
39,40,0.004639574394945192,3.218201892447532E-5,4.290935856596709E-5,8.04550473111883E-6
40,41,0.004937258069996588,3.218201892447532E-5,4.5591193476340036E-5,8.04550473111883E-6
41,42,0.005422670188774091,3.4863853834848265E-5,4.5591193476340036E-5,8.04550473111883E-6
42,43,0.00582226359041966,3.75456887452212E-5,4.5591193476340036E-5,8.04550473111883E-6
43,44,0.006819906177078394,3.75456887452212E-5,4.5591193476340036E-5,8.04550473111883E-6
