,#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile
0,1,30.854896801249456,32.0,32.0,32.0,32.0,32.0
1,2,30.394127714824833,32.0,32.0,32.0,27.0,32.0
2,3,32.83313990599042,37.0,32.0,37.0,22.0,37.0
3,4,34.110225265282416,37.0,37.0,37.0,27.0,37.0
4,5,34.75541893573366,37.0,37.0,37.0,27.0,37.0
5,6,37.11822815565681,41.0,37.0,41.0,27.0,41.0
6,7,37.96345844388192,41.0,37.0,41.0,32.0,41.0
7,8,38.081888407615736,41.0,37.0,41.0,32.0,41.0
8,9,38.273590955222126,41.0,41.0,41.0,32.0,41.0
9,10,37.90849681195534,41.0,37.0,41.0,27.0,41.0
10,11,38.45332165769687,41.0,41.0,41.0,32.0,41.0
11,12,38.183718939625,41.0,41.0,41.0,32.0,41.0
12,13,37.822891783429064,41.0,37.0,41.0,27.0,41.0
13,14,38.14072649781351,41.0,37.0,41.0,32.0,41.0
14,15,38.32257732487665,41.0,41.0,41.0,32.0,41.0
15,16,38.30441618022875,41.0,41.0,41.0,32.0,41.0
16,17,38.10123014962788,41.0,37.0,41.0,32.0,41.0
17,18,38.08454830511654,41.0,37.0,41.0,32.0,41.0
18,19,38.28326760558243,41.0,41.0,41.0,32.0,41.0
19,20,38.186469054052196,41.0,37.0,41.0,32.0,41.0
20,21,37.93614052257109,41.0,37.0,41.0,27.0,41.0
21,22,37.968717039410876,41.0,37.0,41.0,32.0,41.0
22,23,37.76982915880252,41.0,37.0,41.0,27.0,41.0
23,24,37.73573783433196,41.0,37.0,41.0,27.0,41.0
24,25,37.98781143578924,41.0,37.0,41.0,32.0,41.0
25,26,37.61951917757349,41.0,37.0,41.0,27.0,41.0
26,27,37.42379012303266,41.0,37.0,41.0,27.0,41.0
27,28,37.68314734674138,41.0,37.0,41.0,27.0,41.0
28,29,37.435464579491104,41.0,37.0,41.0,27.0,41.0
29,30,37.78570972467934,41.0,37.0,41.0,27.0,41.0
30,31,37.8120902374156,41.0,37.0,41.0,27.0,41.0
31,32,38.016889498988455,41.0,37.0,41.0,32.0,41.0
32,33,37.751696575696414,41.0,37.0,41.0,27.0,41.0
33,34,37.71242418754415,41.0,37.0,41.0,27.0,41.0
34,35,37.79007183643446,41.0,37.0,41.0,27.0,41.0
35,36,37.64820907198777,41.0,37.0,41.0,27.0,41.0
36,37,37.74369068166692,41.0,37.0,41.0,27.0,41.0
37,38,37.534385964262995,41.0,37.0,41.0,27.0,41.0
38,39,37.59755840922457,41.0,37.0,41.0,27.0,41.0
39,40,37.541659368723415,41.0,37.0,41.0,27.0,41.0
40,41,37.44945863541857,41.0,37.0,41.0,27.0,41.0
41,42,37.334340764617416,41.0,37.0,41.0,27.0,41.0
42,43,37.01062596628188,41.0,37.0,41.0,27.0,41.0
43,44,37.31648644870161,41.0,37.0,41.0,27.0,41.0
44,45,37.09067474242249,41.0,37.0,41.0,27.0,41.0
45,46,37.17124883638535,41.0,37.0,41.0,27.0,41.0
46,47,37.31153414553776,41.0,37.0,41.0,27.0,41.0
47,48,36.96440100157952,41.0,37.0,41.0,27.0,41.0
48,49,37.12408758947909,41.0,37.0,41.0,27.0,41.0
49,50,36.969173621804366,41.0,37.0,41.0,27.0,41.0
50,51,37.08490139550084,41.0,37.0,41.0,27.0,41.0
51,52,37.21877151418249,41.0,37.0,41.0,27.0,41.0
52,53,36.94667718375045,41.0,37.0,41.0,27.0,41.0
53,54,37.08894340344106,41.0,37.0,41.0,27.0,41.0
54,55,36.736655665511684,41.0,37.0,41.0,22.0,41.0
55,56,37.19778663873911,41.0,37.0,41.0,27.0,41.0
56,57,37.063184057306735,41.0,37.0,41.0,27.0,41.0
57,58,37.04921161696865,41.0,37.0,41.0,27.0,41.0
58,59,36.83127147160837,41.0,37.0,41.0,22.0,41.0
59,60,36.694185806050825,41.0,37.0,41.0,22.0,41.0
60,61,36.96554265870087,41.0,37.0,41.0,27.0,41.0
61,62,37.066371444916065,41.0,37.0,41.0,27.0,41.0
62,63,36.84072791650418,41.0,37.0,41.0,22.0,41.0
63,64,36.98899586817741,41.0,37.0,41.0,27.0,41.0
64,65,36.867809326794266,41.0,37.0,41.0,22.0,41.0
65,66,36.70629093837752,41.0,37.0,41.0,22.0,41.0
66,67,36.44636111609709,41.0,37.0,41.0,22.0,41.0
67,68,36.61940747914947,41.0,37.0,41.0,22.0,41.0
68,69,36.87231033077939,41.0,37.0,41.0,22.0,41.0
69,70,36.75314103879749,41.0,37.0,41.0,22.0,41.0
70,71,36.24312380881274,41.0,37.0,41.0,22.0,41.0
71,72,36.194604561162905,41.0,37.0,41.0,22.0,41.0
72,73,36.542259000191024,41.0,37.0,41.0,22.0,41.0
73,74,36.457976464914104,41.0,37.0,41.0,22.0,41.0
74,75,36.24501581652366,41.0,37.0,41.0,22.0,41.0
